"index","product_line","month","warehouse","net_revenue"
"0","Braking system","June","Central","3684.89"
"1","Braking system","June","North","1487.77"
"2","Braking system","June","West","1212.75"
"3","Braking system","July","Central","3778.65"
"4","Braking system","July","West","3060.93"
"5","Braking system","July","North","2594.44"
"6","Braking system","August","Central","3039.41"
"7","Braking system","August","West","2500.67"
"8","Braking system","August","North","1770.84"
"9","Electrical system","June","Central","2904.93"
"10","Electrical system","June","North","2022.5"
"11","Electrical system","July","Central","5577.62"
"12","Electrical system","July","North","1710.13"
"13","Electrical system","July","West","449.46"
"14","Electrical system","August","North","4721.12"
"15","Electrical system","August","Central","3126.43"
"16","Electrical system","August","West","1241.84"
"17","Engine","June","Central","6548.85"
"18","Engine","July","Central","1827.03"
"19","Engine","July","North","1007.14"
"20","Engine","August","Central","9528.71"
"21","Engine","August","North","2324.19"
"22","Frame & body","June","Central","5111.34"
"23","Frame & body","June","North","4910.12"
"24","Frame & body","June","West","2779.74"
"25","Frame & body","July","North","6154.61"
"26","Frame & body","July","Central","3135.13"
"27","Frame & body","August","Central","8657.99"
"28","Frame & body","August","North","7898.89"
"29","Frame & body","August","West","829.69"
"30","Miscellaneous","June","West","2280.97"
"31","Miscellaneous","June","Central","1878.07"
"32","Miscellaneous","June","North","513.99"
"33","Miscellaneous","July","Central","3118.44"
"34","Miscellaneous","July","North","2404.65"
"35","Miscellaneous","July","West","1156.8"
"36","Miscellaneous","August","North","1841.4"
"37","Miscellaneous","August","Central","1739.76"
"38","Miscellaneous","August","West","813.43"
"39","Suspension & traction","June","North","8065.74"
"40","Suspension & traction","June","Central","3325"
"41","Suspension & traction","June","West","2372.52"
"42","Suspension & traction","July","Central","6456.72"
"43","Suspension & traction","July","North","3714.28"
"44","Suspension & traction","July","West","2939.32"
"45","Suspension & traction","August","Central","5416.7"
"46","Suspension & traction","August","North","4923.69"
"47","Suspension & traction","August","West","1080.79"